datapoint,factValue
dp3529538,898328812.61
dp3529539,5098145.39
dp3529540,426352622.12
dp3529541,0
dp3529542,273111570.37
dp3529624,0
dp3529625,714960584.2
dp3529639,0
dp3529644,61733440.79
dp3529645,0
dp3529646,0
dp3529648,2711140589.89
dp3529649,4051028652.56
dp3529650,1696172744.58
dp3529651,2121928687.84
dp3529652,5792881092.02
dp3529653,0
dp3529654,47005109.47
dp3529771,13503533949.44
dp3529778,4786379489.1
dp3529782,63180449.8
dp3529783,3592393.81
dp3529784,0
dp3529785,0
dp3529786,45679694.88
dp3529787,384220451.13